Voltage_measured,Current_measured,Temperature_measured,Time,Capacity,cycle_count
3.8630172213009963,-0.001200660698297908,24.955357833915112,0.0,1.97,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,1.0,1.968995983935743,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,2.0,1.967991967871486,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,3.0,1.9669879518072289,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,4.0,1.9659839357429718,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,5.0,1.9649799196787148,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,6.0,1.9639759036144577,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,7.0,1.9629718875502007,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,8.0,1.9619678714859436,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,9.0,1.9609638554216868,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,10.0,1.9599598393574298,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,11.0,1.9589558232931727,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,12.0,1.9579518072289157,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,13.0,1.9569477911646587,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,14.0,1.9559437751004016,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,15.0,1.9549397590361446,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,16.0,1.9539357429718875,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,17.0,1.9529317269076305,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,18.0,1.9519277108433735,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,19.0,1.9509236947791164,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,20.0,1.9499196787148594,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,21.0,1.9489156626506023,1
3.8630172213009963,-0.001200660698297908,24.955357833915112,22.0,1.9479116465863453,1
